# source_commit: a2484b1d2b989b9a8f37bf4b59f2925b6e327042
# generated: 2026-05-21T14:31:42Z
# generator: scripts/aggregate_transfer.py
# key_schema: model:method:source:target
# default_precision: 3
model,method,source,target,auroc_mean,auroc_std,n_seeds
Qwen3-8B,contrastive_logprob_recon,sciq,popqa,0.7405,0.0128,5
Qwen3-8B,contrastive_logprob_recon,sciq,sciq,0.8161,0.007,5
Qwen3-8B,contrastive_logprob_recon,sciq,searchqa,0.7618,0.0035,5
Qwen3-8B,contrastive_logprob_recon,searchqa,hotpotqa,0.6681,0.0124,5
Qwen3-8B,contrastive_logprob_recon,searchqa,nq,0.7052,0.007,5
Qwen3-8B,contrastive_logprob_recon,searchqa,popqa,0.8052,0.0092,5
Qwen3-8B,contrastive_logprob_recon,searchqa,sciq,0.7635,0.0054,5
Qwen3-8B,contrastive_logprob_recon,searchqa,searchqa,0.8401,0.0023,5
Qwen3-8B,act_vit,hotpotqa,hotpotqa,0.8801,0.0024,4
Qwen3-8B,act_vit,hotpotqa,nq,0.78,0.0099,4
Qwen3-8B,act_vit,hotpotqa,popqa,0.8763,0.0077,4
Qwen3-8B,act_vit,hotpotqa,sciq,0.7311,0.0087,4
Qwen3-8B,act_vit,hotpotqa,searchqa,0.788,0.0034,4
Qwen3-8B,act_vit,nq,hotpotqa,0.7423,0.0192,5
Qwen3-8B,act_vit,nq,nq,0.8419,0.0037,5
Qwen3-8B,act_vit,nq,popqa,0.7445,0.0193,5
Qwen3-8B,act_vit,nq,sciq,0.7139,0.0096,5
Qwen3-8B,act_vit,nq,searchqa,0.7353,0.0062,5
Qwen3-8B,act_vit,popqa,hotpotqa,0.6289,0.0128,5
Qwen3-8B,act_vit,popqa,nq,0.5994,0.0142,5
Qwen3-8B,act_vit,popqa,popqa,0.8301,0.0092,5
Qwen3-8B,act_vit,popqa,sciq,0.5498,0.0054,5
Qwen3-8B,act_vit,popqa,searchqa,0.6393,0.0102,5
Qwen3-8B,act_vit,sciq,hotpotqa,0.6164,0.013,5
Qwen3-8B,act_vit,sciq,nq,0.7266,0.0206,5
Qwen3-8B,act_vit,sciq,popqa,0.7245,0.0185,5
Qwen3-8B,act_vit,sciq,sciq,0.7869,0.0053,5
Qwen3-8B,act_vit,sciq,searchqa,0.7455,0.0125,5
Qwen3-8B,act_vit,searchqa,hotpotqa,0.6812,0.0114,5
Qwen3-8B,act_vit,searchqa,nq,0.7635,0.0131,5
Qwen3-8B,act_vit,searchqa,popqa,0.85,0.0078,5
Qwen3-8B,act_vit,searchqa,sciq,0.7649,0.0051,5
Qwen3-8B,act_vit,searchqa,searchqa,0.8384,0.0019,5
Qwen3-8B,llmsknow_probe,hotpotqa,hotpotqa,0.8549,0.0044,5
Qwen3-8B,llmsknow_probe,hotpotqa,nq,0.576,0.03,5
Qwen3-8B,llmsknow_probe,hotpotqa,popqa,0.8602,0.009,5
Qwen3-8B,llmsknow_probe,hotpotqa,sciq,0.6424,0.0187,5
Qwen3-8B,llmsknow_probe,hotpotqa,searchqa,0.6636,0.0173,5
Qwen3-8B,llmsknow_probe,nq,hotpotqa,0.5729,0.0302,5
Qwen3-8B,llmsknow_probe,nq,nq,0.7315,0.0236,5
Qwen3-8B,llmsknow_probe,nq,popqa,0.5889,0.0404,5
Qwen3-8B,llmsknow_probe,nq,sciq,0.5668,0.0484,5
Qwen3-8B,llmsknow_probe,nq,searchqa,0.5875,0.0559,5
Qwen3-8B,llmsknow_probe,popqa,hotpotqa,0.626,0.083,5
Qwen3-8B,llmsknow_probe,popqa,nq,0.5804,0.0304,5
Qwen3-8B,llmsknow_probe,popqa,popqa,0.9036,0.0042,5
Qwen3-8B,llmsknow_probe,popqa,sciq,0.5477,0.0459,5
Qwen3-8B,llmsknow_probe,popqa,searchqa,0.536,0.0318,5
Qwen3-8B,llmsknow_probe,sciq,hotpotqa,0.6851,0.0356,5
Qwen3-8B,llmsknow_probe,sciq,nq,0.5293,0.0325,5
Qwen3-8B,llmsknow_probe,sciq,popqa,0.708,0.0301,5
Qwen3-8B,llmsknow_probe,sciq,sciq,0.713,0.0162,5
Qwen3-8B,llmsknow_probe,sciq,searchqa,0.6184,0.0128,5
Qwen3-8B,llmsknow_probe,searchqa,hotpotqa,0.6959,0.0614,5
Qwen3-8B,llmsknow_probe,searchqa,nq,0.6196,0.052,5
Qwen3-8B,llmsknow_probe,searchqa,popqa,0.809,0.0633,5
Qwen3-8B,llmsknow_probe,searchqa,sciq,0.634,0.0189,5
Qwen3-8B,llmsknow_probe,searchqa,searchqa,0.7417,0.0068,5
Qwen3-8B,saplma,hotpotqa,hotpotqa,0.783,0.0025,5
Qwen3-8B,saplma,hotpotqa,nq,0.634,0.0126,5
Qwen3-8B,saplma,hotpotqa,popqa,0.6783,0.0064,5
Qwen3-8B,saplma,hotpotqa,sciq,0.5745,0.0148,5
Qwen3-8B,saplma,hotpotqa,searchqa,0.651,0.0023,5
Qwen3-8B,saplma,nq,hotpotqa,0.5977,0.0124,5
Qwen3-8B,saplma,nq,nq,0.7096,0.0075,5
Qwen3-8B,saplma,nq,popqa,0.5924,0.0093,5
Qwen3-8B,saplma,nq,sciq,0.5629,0.0135,5
Qwen3-8B,saplma,nq,searchqa,0.6128,0.0058,5
Qwen3-8B,saplma,popqa,hotpotqa,0.6046,0.0043,5
Qwen3-8B,saplma,popqa,nq,0.6483,0.0041,5
Qwen3-8B,saplma,popqa,popqa,0.8124,0.0031,5
Qwen3-8B,saplma,popqa,sciq,0.5482,0.0075,5
Qwen3-8B,saplma,popqa,searchqa,0.6197,0.0053,5
Qwen3-8B,saplma,sciq,hotpotqa,0.5514,0.0027,5
Qwen3-8B,saplma,sciq,nq,0.5744,0.0067,5
Qwen3-8B,saplma,sciq,popqa,0.5951,0.0135,5
Qwen3-8B,saplma,sciq,sciq,0.6268,0.0116,5
Qwen3-8B,saplma,sciq,searchqa,0.6167,0.0061,5
Qwen3-8B,saplma,searchqa,hotpotqa,0.6147,0.0038,5
Qwen3-8B,saplma,searchqa,nq,0.6648,0.011,5
Qwen3-8B,saplma,searchqa,popqa,0.7185,0.0142,5
Qwen3-8B,saplma,searchqa,sciq,0.6032,0.0216,5
Qwen3-8B,saplma,searchqa,searchqa,0.7063,0.0051,5
